Date,Open,High,Low,Close,Adj Close,Volume
2013-01-31,448.725006,450.075012,443.049988,445.125000,397.434418,84330
2013-02-01,445.125000,449.625000,440.750000,442.975006,395.514740,140262
2013-02-04,448.000000,449.399994,439.000000,441.274994,393.996918,142446
2013-02-05,441.500000,446.350006,438.000000,442.750000,395.313843,130676
2013-02-06,445.000000,446.200012,439.549988,442.149994,394.778137,99066
2013-02-07,440.500000,448.649994,440.500000,447.725006,399.755859,91746
2013-02-08,450.000000,453.350006,437.774994,441.399994,394.108490,615280
2013-02-11,444.000000,446.000000,438.700012,440.200012,393.037079,182954
2013-02-12,441.375000,443.399994,438.799988,441.325012,394.041595,102734
2013-02-13,441.500000,450.174988,441.500000,448.325012,400.291595,136190
2013-02-14,450.500000,452.000000,445.774994,449.600006,401.429993,106670
2013-02-15,450.500000,451.000000,443.750000,448.649994,400.581726,83048
2013-02-18,446.000000,449.700012,445.000000,445.725006,397.970123,52816
2013-02-19,446.774994,450.000000,446.674988,449.549988,401.385284,53262
2013-02-20,449.000000,454.975006,447.575012,449.200012,401.072845,79504
2013-02-21,447.500000,448.950012,441.000000,442.274994,394.889771,60772
2013-02-22,444.500000,448.549988,437.500000,446.475006,398.639771,142924
2013-02-25,447.500000,449.450012,443.625000,447.549988,399.599579,74540
2013-02-26,444.000000,444.299988,430.625000,432.549988,386.206665,94620
2013-02-27,434.100006,448.774994,424.899994,445.649994,397.903198,184474
2013-02-28,449.000000,450.825012,433.000000,435.524994,388.862946,300368
2013-03-01,434.750000,445.700012,430.024994,443.325012,395.827271,212514
2013-03-04,441.700012,444.000000,437.000000,442.674988,395.246918,159852
2013-03-05,442.549988,454.000000,440.424988,448.850006,400.760345,693622
2013-03-06,450.000000,450.000000,437.325012,439.174988,392.121887,147470
2013-03-07,434.899994,445.000000,434.500000,442.500000,395.090637,238706
2013-03-08,448.049988,452.500000,444.524994,451.200012,402.858521,246946
2013-03-11,450.000000,460.649994,446.250000,456.149994,407.278198,450086
2013-03-12,458.399994,464.625000,456.000000,457.725006,408.684448,131868
2013-03-13,457.750000,457.750000,452.524994,454.250000,405.581787,64560
2013-03-14,453.799988,461.375000,446.549988,457.100006,408.126404,128198
2013-03-15,457.475006,466.000000,457.475006,463.850006,414.153229,126662
2013-03-18,461.500000,462.799988,454.750000,456.399994,407.501404,96792
2013-03-19,457.500000,459.524994,438.549988,440.674988,393.461182,129918
2013-03-20,440.100006,441.125000,431.500000,437.424988,390.559387,98010
2013-03-21,436.750000,447.750000,428.950012,440.350006,393.170990,211996
2013-03-22,445.000000,447.500000,432.700012,436.899994,390.090668,150052
2013-03-25,438.000000,440.500000,430.125000,432.524994,386.184357,128454
2013-03-26,430.625000,436.700012,426.500000,431.625000,385.380768,105612
2013-03-28,430.000000,434.200012,420.274994,430.575012,384.443268,131374
2013-04-01,433.000000,433.500000,423.700012,427.174988,381.407562,114444
2013-04-02,430.024994,432.399994,425.000000,430.700012,384.554901,125710
2013-04-03,431.524994,431.524994,420.299988,422.274994,377.032532,151702
2013-04-04,422.000000,428.000000,419.500000,423.375000,378.014740,134418
2013-04-05,424.500000,427.000000,415.600006,418.899994,374.019135,142690
2013-04-08,419.500000,424.075012,416.075012,419.475006,374.532562,56616
2013-04-09,420.125000,425.225006,417.250000,419.200012,374.287018,87720
2013-04-10,427.500000,427.500000,413.049988,418.649994,373.795929,84130
2013-04-11,418.649994,419.950012,410.875000,416.075012,371.496826,122164
2013-04-12,415.100006,420.250000,408.049988,411.924988,367.791473,196486
2013-04-15,412.000000,412.000000,404.649994,406.725006,363.148621,92308
2013-04-16,407.500000,424.799988,404.500000,422.774994,377.478973,189920
2013-04-17,422.424988,445.350006,422.424988,439.299988,392.233490,302260
2013-04-18,439.250000,455.700012,435.075012,451.250000,402.903198,255716
2013-04-22,451.149994,456.875000,441.174988,445.850006,398.081787,166202
2013-04-23,450.000000,450.000000,439.375000,442.450012,395.046051,69070
2013-04-25,444.000000,459.450012,440.424988,454.975006,406.229065,802108
2013-04-26,454.500000,454.500000,441.000000,445.625000,397.880829,122246
2013-04-29,446.774994,453.350006,445.700012,451.375000,403.014771,210578
2013-04-30,448.850006,465.350006,440.899994,461.500000,412.054993,185764
2013-05-02,457.500000,484.250000,455.049988,477.575012,426.407715,471848
2013-05-03,475.000000,486.500000,470.125000,479.649994,428.260376,287292
2013-05-06,475.500000,487.200012,475.500000,482.450012,430.760468,149008
2013-05-07,482.450012,482.799988,474.000000,479.500000,428.126495,277156
2013-05-08,482.500000,482.500000,470.674988,473.049988,422.367493,160768
2013-05-09,479.450012,480.700012,469.075012,473.774994,423.014893,149548
2013-05-10,471.524994,488.524994,471.524994,484.825012,432.880981,360674
2013-05-13,484.250000,485.875000,475.549988,478.450012,427.188995,128816
2013-05-14,475.500000,481.200012,473.399994,475.225006,424.309509,103240
2013-05-15,475.000000,496.250000,475.000000,492.325012,439.577423,245154
2013-05-16,492.000000,498.500000,486.500000,492.625000,439.845276,157872
2013-05-17,487.774994,496.950012,487.774994,492.750000,439.956909,165120
2013-05-20,493.000000,513.224976,493.000000,501.774994,448.014954,354174
2013-05-21,501.000000,501.500000,490.600006,493.700012,440.805115,128226
2013-05-22,493.850006,502.500000,491.500000,495.625000,442.523865,141990
2013-05-23,490.000000,491.500000,475.575012,480.299988,428.840759,144300
2013-05-24,482.649994,489.500000,476.375000,483.674988,431.854156,142498
2013-05-27,483.950012,483.950012,471.500000,475.924988,424.934509,147242
2013-05-28,477.500000,487.899994,466.799988,486.475006,434.354156,324108
2013-05-29,488.500000,490.000000,478.299988,480.149994,428.706848,142022
2013-05-30,479.000000,504.500000,479.000000,502.299988,448.483704,621440
2013-05-31,503.600006,504.500000,480.000000,482.649994,430.938995,523164
2013-06-03,482.000000,494.500000,472.700012,486.674988,434.532715,266248
2013-06-04,490.000000,498.000000,487.750000,492.174988,439.443481,241062
2013-06-05,491.000000,498.575012,489.125000,493.450012,440.581879,135282
2013-06-06,494.950012,498.500000,486.500000,494.774994,441.764923,156394
2013-06-07,494.500000,498.100006,481.125000,483.524994,431.720215,143198
2013-06-10,488.000000,492.000000,486.024994,488.475006,436.139893,97048
2013-06-11,483.000000,484.250000,468.500000,473.274994,422.568420,213444
2013-06-12,470.750000,490.000000,463.649994,476.950012,425.849701,175332
2013-06-13,471.075012,473.500000,457.500000,461.450012,412.010376,125022
2013-06-14,464.899994,477.024994,463.475006,473.725006,422.970184,176224
2013-06-17,480.600006,499.950012,480.399994,494.700012,441.697937,322828
2013-06-18,498.450012,499.700012,489.149994,491.450012,438.796173,216418
2013-06-19,492.000000,493.450012,486.174988,489.299988,436.876495,107154
2013-06-20,488.450012,488.450012,468.000000,470.500000,420.090729,193776
2013-06-21,469.500000,477.225006,461.575012,471.024994,420.559448,213990
2013-06-24,472.500000,472.500000,457.649994,463.450012,413.796082,169616
2013-06-25,463.024994,480.500000,462.725006,478.200012,426.965759,197164
2013-06-26,478.399994,479.549988,453.700012,456.075012,407.211212,330294
