,Open,High,Low,Close,Adj Close,Volume,DPO,Low,Low,Low,Low,Low,Low,Total Market Value,Low,Total Market Value,Total Market Value,AORD_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2013-07-17,1412.25,1432.8,1401.5,1421.15,1415.2,1141103.0,-538.7000000000004,1401.5,1401.5,1401.5,1401.5,1401.5,1401.5,15408120.0,1401.5,158976649.0,33375499.0,4966.5,15470.52,1.4244,6571.9,8254.72,1680.91,21371.87,1887.49,6574.72,8258.92,5973.3
2013-07-18,1415.0,1456.0,1407.2,1445.55,1455.5,714436.0,-534.7200000000001,1407.2,1407.2,1407.2,1407.2,1407.2,1407.2,15449616.0,1407.2,159714702.0,33271160.0,4976.9,15548.54,1.4311,6634.4,8337.09,1689.37,21345.22,1875.48,6648.35,8194.85,6038.05
2013-07-19,1450.25,1462.0,1432.1,1451.5,1449.0,403857.0,-528.0125000000002,1432.1,1432.1,1432.1,1432.1,1432.1,1432.1,15628704.0,1432.1,160600365.0,32006047.0,4959.4,15543.74,1.4311,6630.7,8331.57,1692.09,21362.42,1871.41,6621.02,8062.0,6029.2
2013-07-22,1437.0,1466.5,1435.0,1448.45,1450.0,324022.0,-523.2125000000002,1435.0,1435.0,1435.0,1435.0,1435.0,1435.0,15812160.0,1435.0,159640896.0,32684252.0,4988.9,15545.55,1.4311,6623.2,8331.06,1695.53,21416.5,1880.35,6627.36,8105.42,6031.8
2013-07-23,1442.3,1464.0,1439.7,1448.7,1449.0,451305.0,-511.78750000000014,1439.7,1439.7,1439.7,1439.7,1439.7,1439.7,15758652.0,1439.7,154253108.0,32892930.0,5004.6,15567.74,1.4379,6597.4,8314.23,1692.39,21915.42,1904.15,6743.21,8214.62,6077.8
2013-07-24,1437.0,1443.8,1402.1,1416.05,1415.0,405613.0,-505.3525000000002,1402.1,1402.1,1402.1,1402.1,1402.1,1402.1,15890784.0,1402.1,150046205.0,31627818.0,5021.8,15542.24,1.4311,6620.4,8379.11,1685.94,21968.93,1912.08,6804.16,8196.16,5990.5
2013-07-25,1420.4,1452.15,1402.25,1414.0,1412.0,1896090.0,-517.4425000000001,1402.25,1402.25,1402.25,1402.25,1402.25,1402.25,15811068.0,1402.25,146429745.0,32553828.0,5018.3,15555.61,1.4244,6588.0,8298.98,1690.25,21900.96,1909.61,6800.11,8163.55,5907.5
2013-07-26,1448.0,1448.0,1352.7,1375.4,1373.4,1226137.0,-509.3250000000003,1352.7,1352.7,1352.7,1352.7,1352.7,1352.7,15536976.0,1352.7,145248860.0,31888666.0,5023.8,15558.83,1.4244,6554.8,8244.91,1691.65,21968.95,1910.81,6763.62,8149.37,5886.2
2013-07-29,1375.0,1378.1,1335.8,1348.2,1347.95,710715.0,-465.4625000000003,1335.8,1335.8,1335.8,1335.8,1335.8,1335.8,15754284.0,1335.8,144437001.0,31601733.0,5027.9,15521.97,1.4244,6560.3,8259.03,1685.33,21850.15,1899.89,6717.66,8084.47,5831.65
2013-07-30,1349.9,1362.8,1340.5,1342.4,1343.05,459744.0,-453.6500000000003,1340.5,1340.5,1340.5,1340.5,1340.5,1340.5,15697500.0,1340.5,146282134.0,31380012.0,5026.3,15520.59,1.4244,6571.0,8271.02,1685.96,21953.96,1917.05,6728.0,8163.52,5755.05
2013-07-31,1336.0,1336.0,1292.0,1326.3,1325.0,500776.0,-341.6175000000003,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,15607956.0,1292.0,147315409.0,30936570.0,5035.7,15499.54,1.4244,6621.1,8275.97,1685.73,21883.66,1914.03,6639.12,8107.91,5742.0
