Date,KLSE_Open,KLSE_High,KLSE_Low,KLSE_Close,KLSE_AdjClose,KLSE_Volume
"Oct 23, 2015","1,716.98","1,717.49","1,709.56","1,710.93","1,710.93","10,82,39,300"
"Oct 22, 2015","1,701.69","1,711.39","1,701.69","1,705.09","1,705.09","10,32,08,800"
"Oct 21, 2015","1,700.36","1,710.25","1,695.38","1,707.11","1,707.11","12,28,41,200"
"Oct 20, 2015","1,715.88","1,716.46","1,702.84","1,705.03","1,705.03","11,95,03,400"
"Oct 19, 2015","1,712.08","1,727.41","1,708.31","1,718.20","1,718.20","12,21,19,500"
"Oct 16, 2015","1,717.01","1,720.42","1,713.67","1,716.82","1,716.82","13,77,29,100"
"Oct 15, 2015","1,709.02","1,721.34","1,706.87","1,713.25","1,713.25","18,10,49,200"
"Oct 13, 2015","1,710.50","1,716.75","1,705.30","1,711.14","1,711.14","16,09,43,100"
"Oct 12, 2015","1,703.24","1,719.90","1,700.65","1,709.86","1,709.86","15,18,84,300"
"Oct 09, 2015","1,702.78","1,717.48","1,702.52","1,706.54","1,706.54","23,52,94,400"
"Oct 08, 2015","1,682.67","1,701.21","1,681.78","1,692.20","1,692.20","22,29,87,900"
"Oct 07, 2015","1,658.65","1,690.79","1,657.73","1,689.25","1,689.25","26,71,71,700"
"Oct 06, 2015","1,658.98","1,662.96","1,652.50","1,662.51","1,662.51","17,64,42,500"
"Oct 05, 2015","1,629.59","1,647.59","1,629.15","1,647.59","1,647.59","13,75,29,300"
"Oct 02, 2015","1,634.33","1,634.89","1,620.58","1,628.80","1,628.80","13,49,79,900"
"Oct 01, 2015","1,622.61","1,635.13","1,617.42","1,633.93","1,633.93","14,21,36,100"
"Sep 30, 2015","1,602.52","1,621.86","1,601.54","1,621.04","1,621.04","21,42,55,400"
"Sep 29, 2015","1,600.89","1,604.94","1,595.22","1,603.32","1,603.32","16,92,17,600"
"Sep 28, 2015","1,612.52","1,613.96","1,600.27","1,608.43","1,608.43","10,23,24,900"
"Sep 25, 2015","1,604.15","1,617.44","1,603.02","1,615.01","1,615.01","14,68,80,900"
"Sep 23, 2015","1,626.86","1,626.96","1,609.83","1,613.17","1,613.17","16,59,41,300"
"Sep 22, 2015","1,640.58","1,641.41","1,628.24","1,635.37","1,635.37","12,82,72,900"
"Sep 21, 2015","1,661.54","1,661.95","1,638.83","1,639.47","1,639.47","14,71,40,100"
"Sep 18, 2015","1,680.58","1,684.40","1,661.56","1,669.45","1,669.45","18,80,40,800"
"Sep 17, 2015","1,670.96","1,691.93","1,669.40","1,681.54","1,681.54","26,60,58,500"
"Sep 15, 2015","1,648.04","1,656.08","1,639.97","1,647.15","1,647.15","16,53,12,000"
"Sep 14, 2015","1,605.14","1,645.49","1,600.70","1,639.63","1,639.63","16,07,32,400"
"Sep 11, 2015","1,605.09","1,612.32","1,602.54","1,603.60","1,603.60","11,80,33,100"
"Sep 10, 2015","1,592.16","1,614.02","1,586.84","1,614.02","1,614.02","15,53,84,400"
"Sep 09, 2015","1,597.90","1,605.79","1,596.67","1,603.36","1,603.36","19,09,21,000"
"Sep 08, 2015","1,584.20","1,594.91","1,576.96","1,587.12","1,587.12","11,79,40,200"
"Sep 07, 2015","1,578.50","1,582.85","1,567.91","1,582.85","1,582.85","10,71,49,000"
